Stat Var,Queries,,,,,,
Count_CycloneEvent,Number of cyclones at $Location,Count of cyclones that hit $Location,How many times did cyclones affect $Location,How many cyclones were seen at $Location,,,
Count_ExcessiveHeatEvent,Count of excessively hot events at $Location,Number of days that were very hot $Location,How may times did it get it extremely hot in $Location ,,,,
Quarterly_Consumption_Coal_ElectricPower,Quarterly consumption of Coal for electric power in $Location,How much coal was consumed in $Location for electric power,Coal used per quarter in $location for electric power,Amount of coal used for electric power in $location every quarter,,,
Quarterly_Consumption_Coal_CokePlants,Quarterly consumption of coal by coke plants in $location,How much coal was used by coke plants in $location in one quarter,Tons of coal used by coke plants in $Location in one quarter,Coal consumed by coke plants in $Location every three months,,,
Quarterly_Average_Cost_Coal_ElectricPower,Average cost of coal used for electric power in $Location,What did the coal used for electric power in $location cost?,what is the mean cost of coal used for electricity in $location,,,,
Annual_Average_Cost_Coal_CokePlants,annual cost of coal used in coke plants in $Location,How much does coal used in coke plants in $Location cost on a average per year?,average cost of coal used for coke plants in $location per year,how many dollars per ton of coal did coke plants pay per year at $Location,,,
Quarterly_Average_Cost_Coal_CokePlants,,,,,,,
Annual_Stock_Coal_ElectricPower,,,,,,,
Quarterly_Stock_Coal_ElectricPower,,,,,,,
Annual_Stock_Coal_CokePlants,,,,,,,
Quarterly_Stock_Coal_CokePlants,,,,,,,
Annual_Average_SulfurContent_Coal_For_ElectricPower,annual average sulfur content in coal used for electric power in $Location,how much sulphur is present on an average in coal used for electricity in $Location,percentage of sulfur in coal used for electric power in $Location,amount of sulphur in coal used for electric power at $location,,,
Quarterly_Average_SulfurContent_Coal_For_ElectricPower,,,,,,,
Annual_Average_SulfurContent_Coal_For_CokePlants,,,,,,,
Quarterly_Average_SulfurContent_Coal_For_CokePlants,,,,,,,
Monthly_Generation_Electricity_Solar_Commercial,monthly commercial solar electricity generated at $location,how much electricity was generated from commercial solar in $Location per month,units of electricity generated by commercial solar plants in $Location in a month,monthly kwh electric power generated by commercial solar plants in $location,,,
Monthly_Generation_Electricity_Solar_Industrial,,,,,,,
Monthly_Generation_Electricity_Solar_Residential,monthly generation of electricity by residential solar at $location,how much electricity was generated by residential solar plants in $location per month,Total electricity generated by solar plants in household in $location per month,kwh eletric power produced by domestic solar plants in $Location in a month,,,
Monthly_Generation_Electricity_Solar,Monthly electricity generated from solar at $Location,Total power generated per month from solar at $Location,kwh of electricity produced by solar plants in $location in a month,,,,
Monthly_Generation_Electricity_Wind,monthly electricity generated from wind at $location,how much electric power is generated per month using wind turbines at $Location,,,,,
Monthly_Generation_Electricity_Wind_ElectricPower,,,,,,,
Monthly_Generation_Electricity_Wind_Industrial,,,,,,,
Monthly_Generation_Electricity_Wind_Commercial,,,,,,,
Monthly_Generation_Electricity_WoodAndWoodDerivedFuels_Industrial,monthly electricity genrated by industries from wood,how much power is generated by the industrial sector from wood as fuel in a month,monthly power produced by industries using wood as fuel,,,,
Monthly_Generation_Electricity_WoodAndWoodDerivedFuels_ElectricPower,monthly electricity generated by burning wood,total power produced per month using wood as fuel,units of electricity generated per month by burning wood in $location,monthly electric power by combustion of wood in $Location,,,
Monthly_Generation_Electricity_WoodAndWoodDerivedFuels,,,,,,,
Monthly_Generation_Electricity_WoodAndWoodDerivedFuels_Commercial,,,,,,,
Monthly_Generation_Electricity_Nuclear_ElectricPower,monthly electricity egenrated by nuclear plants in $location,power produced from nuclear energy in $location per month,monthly nuclear power generated in $Location,,,,
Monthly_Generation_Electricity_CombustibleFuel,monthly electricity generation from combustible fuels in $Location,total electricity produced from conbustible fuels in a month in $location,,,,,
Monthly_Generation_Electricity_NaturalGas,monthly electricity generation from natural gas at $Location,total electric power generated using natural gas in a month at $Location,power produced from natural gas per month in $Location,electricity production per month in $Location from fossil gas,how much electricity is generated from hydrocarbon gas in a month in $Location,,
Monthly_Generation_Electricity_ConventionalHydroelectric,monthly generation of hydro electricity in $Location ,total hydel power generated in $location,amount of electricity produced by hydel power plants in $Location,,,,
Monthly_Generation_Electricity,monthly power generation in $Location,total electricity generated at $location in  a month,amount of electric power produced in $location per month,,,,
Monthly_Generation_Electricity_RenewableEnergy,monthly generation of renewable electricity at $location,total electricity gnerated from renewable sources in $location per month,monthly power production from renewable energy at $location,,,,
Monthly_Generation_Electricity_Coal,monthly electricity generation from coal at $location,total electric power generated using coal in $Location in a month,how much power is produced per month by burning coal in $location,,,,
Monthly_Generation_Electricity_SmallScaleSolarPhotovoltaic,monthly electricity generation from small scale solar photovoltaic in $location,total electric power generated from small solar pv plants in $location,how much power is produced by minor solar pv plants in $Location,amount of electricity produced from solar in a month in $Location,,,
Monthly_Generation_Electricity_SmallScaleSolarPhotovoltaic_Residential,monthly power production by residential solar photovoltaic in $Location,total electricity produced by residential rooftop solar pv per month in $location,how much power is generated by rooftop solar pv on homes in $location,amount of electricity produced by domestic solar pv per month at $location,,,
Monthly_Generation_Electricity_HydroelectricPumpedStorage,monthly electricity generation from hydroelectric pumped storage in $location,monthly production of pumped storage hydropower at $location,total electricity produced by psh plants in $location,amount of electricity generated by PESH at $location in a month,,,
Monthly_Generation_Electricity_Geothermal,monthly electricity generation by geothermal plants at $location,monthly geothermal power production at $location,total electricity produced using geothermic process at $location,,,,
Monthly_Average_Cost_Fuel_ForElectricityGeneration_Coal,average cost of coal used for electricity generation per month at $location,How much was spent on coal for electric power at $location in a month,monthly price of coal used for electricity in $location ,,,,
Monthly_Average_Cost_Fuel_ForElectricityGeneration_NaturalGas,average cost of natural gas used for electricity generation per month at $location,how much money was spent per month on natural gas for electricity generation in $location,price of natural gas per month used for electric power production in $location,,,,
Monthly_Count_ElectricityConsumer_Industrial,monthly count of indistrial electricity consumers in $location,how many industries consume electricity in a month at $location,number of industries using electric power per month at $location,,,,
Monthly_Count_ElectricityConsumer_Residential,monthly count of residential electricity consumers at $location,how many homes use electric power per month at $location,number of houses with electricity usage at $location over a month,number of electricity consumers in the residential sector per month at $location,,,
Monthly_Count_ElectricityConsumer,total number of electricity consumers per month in $location,consumers of electric power per month at $location,number of users of electricity at $location per month,,,,
Monthly_Count_ElectricityConsumer_Commercial,monthly count of commercial electricity consumers at $location,total number of electric power users from the commercial sector per month at $location,,,,,
,,,,,,,
Monthly_Average_Cost_Fuel_ForElectricityGeneration_Coal_Commercial,What is the monthly mean cost of coal for commercial electricity generation in $Location?,What is the cost of coal commercial electricity monthly on average in $Location?,,,,,
,Cost of coal commercial electricity generation in US dollars per short ton at $Location? ,Cost of coal commercial electricity generation in British Thermal units at $Location? ,,,,,
,Cost of coal commercial electricity generation in MMBtu at $Location? ,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_NaturalGas,What is the monthly consumption of natural gas in $Location for electricity generation? ,What is the monthly consumption of natural gas in $Location for electricity generation in all sectors? ,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_NaturalGas_Commercial,Amount of natural gas used every month for electricity generation in commercial sectors at $Location?,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_NaturalGas_Industrial,Natural gas used by industrial sectors for electricity generation every month at $Location?,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_Coal_Industrial,Monthly coal usage for electricity generation in industrial sectors at $Location,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_Coal_ElectricPower,Coal usage in electric power sectors for electricity generation monthly at $Location,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_Coal,Monthly utilization of coal for electricity generation at $Location,,,,,,
Monthly_Consumption_Fuel_ForElectricityGeneration_Coal_Commercial,How much coal is used monthly for electricity generation in commercial sectors at $Location?,,,,,,
Monthly_AshContent_Fuel_ForElectricityGeneration_Coal_ElectricPower,Ash content in coal used for electricity generation monthly in electric power sector at $Location?,,,,,,
Monthly_AshContent_Fuel_ForElectricityGeneration_Coal,What is the percentage of ash content in coal used for electricity generation at $Location monthly?,,,,,,
Monthly_AshContent_Fuel_ForElectricityGeneration_Coal_Commercial,Ash content in coal used for monthly commercial electricity generation at $Location?,,,,,,
Monthly_AshContent_Fuel_ForElectricityGeneration_Coal_Industrial,Quality of ash content in coal used for electricity generation in industrial sectors of $Location,,,,,,
Monthly_SulfurContent_Fuel_ForElectricityGeneration_Coal_ElectricPower,Percentage of sulfur content in coal used for electricity generation in electric power sectors at $Location monthly?,,,,,,
Monthly_SulfurContent_Fuel_ForElectricityGeneration_Coal,What is the quality of coal in terms of sulfur content used for electricity generation monthly at $Location?,,,,,,
Monthly_SulfurContent_Fuel_ForElectricityGeneration_Coal_Industrial,Amount of sulfur content in coal used for electricty generation in industrial sectors of $Location?,,,,,,
Monthly_SulfurContent_Fuel_ForElectricityGeneration_Coal_Commercial,How much sulfur content is present in coal used for electricity generation in $Location commercial sectors?,,,,,,
Monthly_Average_RetailPrice_Electricity_Residential,Average monthly retail price of residential electricity in $Location?,What is the monthly price of electricity in $Location residential sectors?,,,,,
Monthly_Average_RetailPrice_Electricity_Commercial,What is the mean monthly retail cost of electricty in $Location commercial sectors?,Commercial electricity cost at $Location monthly?,,,,,
Monthly_Average_RetailPrice_Electricity,Monthly retail price of electricity at $Location?,Electricity cost monthly at $Location,,,,,
Quarterly_Average_Cost_Fuel_ForElectricityGeneration_Coal,What is the quarterly cost of coal electricity generation at $Location?,"On an average, how much does $Location spend on coal electricity generation quarterly?",,,,,
,What is the per quarter cost of coal electricity generation $Location?,What is the quarterly cost to $Location due to coal electricity generation?,,,,,
Annual_Average_Cost_Fuel_ForElectricityGeneration_Coal,Average annual cost of coal fossil fuel for electricity generation per Btu in all sectors at $Location?,Mean annual cost of coal electricity generation in $Location?,,,,,
,How much does $Location spend every year on electricity generation using coal?,How much US Dollar Per Short Ton is spent on coal electricity generation by $Location annually?,,,,,
,Coal electricity generation cost in dollar per short ton at $Location every year?,Per annum cost of coal electricity generation in $Location,,,,,
Annual_Average_Cost_Fuel_ForElectricityGeneration_NaturalGas,What is the average annual cost to $Location in electricity generation using natural gas?,Mean per annum cost of natural gas electricity production in million british thermal units in $Location?,,,,,
,US Dollar per MCF mean cost of natural gas electricity generation in $Location yearly?,,,,,,
Annual_Count_ElectricityConsumer,Average number of customer accounts that consume electricity in $Location every year?,Mean number of customer accounts in all sectors that consume electricity annually?,,,,,
Annual_Generation_Electricity_Commercial,How much electricity is produced by commercial sectors in $Location annually?,Electricity in gigawatt hour from commercial sectors in $Location annually?,,,,,
Annual_Generation_Electricity_Industrial,What is the amount of electricity contributed by industrial sectors in $Location annually?,Electricity generation from all fuels in industrial sector at $Location annually?,,,,,
Annual_Generation_Electricity,Net generation of electricity from all fuels at $Location,Net generation of electricity from all sectors in $Location,,,,,
,Net generation of electricity from all sources at $Location,Total electricity generated in $Location per year,,,,,
,What is the sum total of electricity generated from all sources and sectors at $Location?,,,,,,
Quarterly_Generation_Electricity_ConventionalHydroelectric,Quantity of electricity generated quarterly from natural hydroelectric sources at $Location,What is the aggregated contribution of electricity from conventional hydroelectric sources at $Location?,,,,,
,How much electricity is generated from natural source of hydroelectric energy at $Location?,,,,,,
Quarterly_Generation_Electricity_Coal_ElectricPower,Electricity produced in the electric power sectors of $Location using coal per quarter,Quarterly electricity generated using coal in $Location from electric power sectors?,,,,,
Annual_Generation_Electricity_Coal,Annual gross electricity from coal fuels in $Location?,Yearly quota of electricity generated from coal in $Location,,,,,
Annual_Generation_Electricity_ConventionalHydroelectric,How much electricity do natural hydroelectric give per year in $Location?,What is the quantity of electricity generated annually from natural water sources in $Location? ,,,,,
Annual_Generation_Electricity_Geothermal,Net geothermal electricity generated in $Location annually?,Amount of electricity generated per year from geothermal sources in $Location?,,,,,
Annual_Generation_Electricity_ConventionalHydroelectric_Commercial,How much electricity is generated by the commercial sectors of $Location using natural water bodies?,Annual gross electricity from conventional hydroelectric sources of energy in $Location from commercial sectors,,,,,
Annual_Generation_Electricity_ConventionalHydroelectric_Industrial,"In $Location, how much electricity is generated from conventional hydorelectric sources by industrial sectors annually?","Every year, how much electricity is contributed by the electric power sector in $Location generated from conventional hydroelectric sources of energy?",,,,,
Quarterly_Generation_Electricity_RenewableEnergy_ElectricPower,Electricity from renewable energy sources produced by the electric power sector in $Location per quarter,"On a quarterly basis, what is the quantity of electricty generated from renewable energy sources by the electric power sector in $Location?",,,,,
Annual_Generation_Electricity_RenewableEnergy,What is annual contribution to electricity from renewable energy sources at $Location,What is the quantity of electricity made from using renewable energy sources at $Location per year?,,,,,
Annual_Generation_Electricity_RenewableEnergy_Industrial,"In gigawatt hour, how much electricty is generated by industrial sectors using renewable energy",Total electricity from renewable energy sources by the industrial sectors in $Location,,,,,
Quarterly_Generation_Electricity_RenewableEnergy_Commercial,"In each quarter, how much electricity comes from renewable energy sources in the commercial sectors of $Location?",,,,,,
Quarterly_Generation_Electricity_NaturalGas,Electricty generated from natural gas every quarter at $Location?,How much electricity is produced from natural gas every quarter in $Location,,,,,
,Net electricity every quarter from natural gas at $Location,,,,,,
Annual_Generation_Electricity_NaturalGas_Commercial,What is the annual supply of electricty from natural gas in commercial sectors of $Location?,Yearly supply of electricity from the commercial sectors of $Location using natural gas.,,,,,
Annual_Generation_Electricity_Nuclear_ElectricPower,Per year electricity generation from nuclear energy in electric power sectors of $Location,What is the total yearly electricity generated by the electric power sectors of $Location using nuclear energy,,,,,
Annual_Generation_Electricity_Nuclear,Amount of electricity generated from nuclear energy in $Location annually?,"Per annum, how much electricity does nuclear energy produce in $Location?",,,,,
Annual_Generation_Electricity_WoodAndWoodDerivedFuels,Electricity produced in gigawatthour from wood and wood derieved fuels per year in $Location,Annual electricity contribution from wood based fuels in $Location?,,,,,
,How much of the electricity produced in $Location every year comes from wood fuels?,,,,,,
Annual_Generation_Electricity_Wind,How much electricity is generated from wind energy at $Location yearly?,Annual electricity generation from wind energy at $Location?,,,,,
Count_Farm,Number of Farms in $Location,Count of Farms in $Location,,,,,
,How many Farms are in $Location?,Number of agricultural areas at $Location?,,,,,
Area_Farm,Acres of farmland in $Location,Size of farmland in $Location,,,,,
Mean_Area_Farm,The average area of farm in $Location,Mean acres of land used for farming in $Location,,,,,
,What is the average amount of land used for farming in $Location?,,,,,,
Area_Farm_IrrigatedLand,Average acres of irrigated farm land in $Location,Mean area of irrigated farmland in $Location,,,,,
Area_Farm_HarvestedCropland,The average area of farms with harvested cropland in $Location?,"On an average, how many acres of land are used by farms with harvested cropland in $Location?",,,,,
MarketValue_Farm_LivestockAndPoultry,What is the market value of farms with livestock and poultry at $Location?,How much do farms with livestock and poultry sell for in $Location?,,,,,
MonetaryValue_Farm_GovernmentPayment,What is the monetary value of government payment to farms?,What is the price of farms placed by the government at $Location?,,,,,
Count_Farm_MilkCows,Number of Farms with Milk Cows in $Location,Count of Farms in $Location with Milk Cows,,,,,
Count_Farm_BeefCows,How many Farms in $Location have Beef Cows?,Farms with Beef Cows in $Location,,,,,
Count_Farm_SheepAndLambs,Sum of Farms with Sheeps and Lambs in $Location,Total number of Farms in $Location with Sheep and Lambs,,,,,
Count_Farm_WheatForGrain,Count of Farms in $Location which have have wheat farm inventory ,How many farms in $Location which produce wheat?,,,,,
Area_Farm_CornForGrain,What is the area covered by farms in $Location which provide corn for grain?,Total farm area with corn inventory in $Location,,,,,
Area_Farm_Forage,Area of farms with forage in $Location,Portion of land in $Location covered by farms with forage,,,,,
Area_Farm_Cotton,Acreage of farms with cotton in $Location,Total land covered by farms in $Location with cotton,,,,,
Area_Farm_Orchards,Number of acres of land covered by Orchards in $Location,Expanse of land used for farm orchards in $Location,,,,,
,,,,,,,
Annual_Generation_Electricity_Solar,yearly solar electricity generation in $Location,yearly solar energy generation in $Location,yearly solar generation in $Location,How many kWh of solar electricity produced in $Location yearly?,solar electricity production in $Location,solar energy production in $Location,solar production in $Location
,solar electricity generation in $Location per year,How much solar energy is generated in $Location yearly?,How much solar electricity is generated in $Location yearly?,How many kWh of solar electricity produced in $Location?,yearly kWh of solar electricity produced in $Location,yearly kWh of solar energy produced in $Location,
,solar electricity generation in $Location per annum,kWh of solar electricity generated in $Location,kWh of solar energy generated in $Location,How much solar electricity is produced in $Location yearly?,kWh of solar electricity produced in $Location,kWh of solar energy produced in $Location,
,annual solar electricity generation in $Location,How many kWh of solar electricity generated in $Location?,yearly kWh of solar electricity generated in $Location,yearly solar production in $Location,How much solar energy is produced in $Location yearly?,yearly solar energy production in $Location,
,yearly kWh of solar energy generated in $Location,How many kWh of solar electricity generated in $Location yearly?,solar electricity generation in $Location,solar energy generation in $Location,solar generation in $Location,yearly solar electricity production in $Location,
Quarterly_Generation_Electricity_Solar,quarterly solar power generation in $Location,quarterly solar power generation in $Location,quarterly solar generation in $Location,,,,
,solar power generation in $Location per quarter,How much solar power is generated in $Location quarterly?,How much solar electricity is generated in $Location quarterly?,,,,
,quarterly kWh of solar electricity generated in $Location,quarterly kWh of solar energy generated in $Location,How many kWh of solar electricity generated in $Location quarterly?,,,,
Annual_Generation_Electricity_Solar_Residential,solar electricity generation in $Location by residential sector per annum,solar energy generation in $Location per year,solar generation in $Location per annum,How much solar energy is generated in $Location yearly?,,,
,yearly kWh of solar electricity generated in $Location,yearly kWh of solar energy generated in $Location,How many kWh of solar electricity generated in $Location per annum?,How much solar electricity is generated in $Location per year?,,,
Count_SolarInstallation,solar installations in $Location,solar plants in $Location,solar installations in $Location,rooftop solar in $Location,number of solar cell installations in $Location,,
,How many solar installations are there in $Location?,How many photovoltaic cell installations are present in $Location?,,,,,
Count_SolarInstallation_Commercial,commercial solar installations in $Location,commercial solar plants in $Location,commercial solar installations in $Location,commercial rooftop solar in $Location,number of commercial solar cell installations in $Location,,
,How many commercial solar installations are there in $Location?,How many commercial photovoltaic cell installations are present in $Location?,,,,,
Count_SolarThermalInstallation_NonUtility,non-utility solar thermal installations in $Location,non-utility solar thermal units in $Location,independent solar thermal units in $Location,solar heater installations in $Location,solar water heater in $Location,,
,How many independent solar thermal power installations are present in $Location?,How many independent power producers in $Location use Solar Thermal Installations?,How many non utility solar heater installations are present in $Location?,,,,
Annual_Average_RetailPrice_Electricity_Residential,What is the average residential electricity cost in $Location?,What is the mean power cost in $Location for residence?,How much does electricity cost in $Location?,What is the power cost in $Location for home?,How much does kwh cost in $Location house?,How much does kilowatthour cost in $Location home?,How many cents would kilowatthour cost in $Location house?
Annual_Average_RetailPrice_Electricity_Commercial,What is the average commercial electricity cost in $Location?,What is the mean power cost in $Location for industry?,How much does electricity cost in $Location?,What is the commercial power cost in $Location?,How much does kwh cost in $Location industry?,How much does industrial kilowatthour cost in $Location?,How many cents would kilowatthour cost in $Location commercial building?
Quarterly_Average_RetailPrice_Electricity_Commercial,What is the average commercial electricity cost in $Location?,What is the mean power cost in $Location for industry?,How much does electricity cost in $Location?,What is the commercial power cost in $Location?,How much does kwh cost in $Location industry?,How much does industrial kilowatthour cost in $Location?,How many cents would kilowatthour cost in $Location commercial building?
Mean_CoverageArea_SolarInstallation_Residential,How much area is covered by residential solar installations in $Location?,How much area is covered by residential solar rooftops in $Location?,How many square meteres do residential solar plants in $Location cover?,,,,
Mean_CoverageArea_SolarInstallation_Commercial,How much area is covered by commercial solar installations in $Location?,How much area is covered by industrial solar rooftops in $Location?,How many square meteres do commercial solar plants in $Location cover?,,,,
Mean_CoverageArea_SolarThermalInstallation_NonUtility,How much area is covered by solar thermal installations in $Location?,How much area is covered by non utility solar thermal rooftops in $Location?,How many square meteres do solar heater plants in $Location cover?,,,,
LandCoverFraction_BareSparseVegetation,How much area of $Location is bare sparse vegetation?,What fraction of $Location is covered by bare sparse vegetation?,What fraction of $Location is covered by sparse vegetation?,What fraction of $Location is covered by bare rocks or sparse vegetation?,What fraction of $Location is covered by bare rocks?,,
,What fraction of $Location is covered by badlands?,What fraction of $Location is covered by parsely vegetated badlands?,,,,,
LandCoverFraction_Cropland,fraction of land cover occupied by cropland in $Location,Amount of area occupied by farmland in $Location,What fraction of land is covered by farms in $Location?,What fraction of land is utilized for growing crops in $Location?,,,
LandCoverFraction_HerbaceousVegetation,What fraction of $Location is covered by Herbaceous vegetation?,What fraction of $Location is covered by Herbs?,,,,,
LandCoverFraction_MossAndLichen,What fraction of $Location is covered by moss and lichen?,What fraction of $Location is covered by lichen?,,,,,
LandCoverFraction_Shrubland,What fraction of $Location is covered by shrubland?,What fraction of $Location is covered by shrubs?,What fraction of $Location is scrubs?,What fraction of $Location is covered by scrubland?,,,
LandCoverFraction_Forest,What fraction of $Location is covered by forest?,What fraction of $Location is covered by jungle?,What fraction of $Location is covered by woodlands?,,,,
LandCoverFraction_SnowIce,What fraction of $Location is covered by snow?,What fraction of $Location is permenantly covered by snow?,,,,,
LandCoverFraction_BuiltUp,What fraction of $Location is covered by buildings?,What fraction of $Location is covered by urban structures?,What fraction of $Location is covered by man made structures?,What fraction of $Location is covered by concrete buildings?,,,
LandCoverFraction_PermanentWater,What fraction of $Location is covered by water permanently?,What fraction of $Location is covered by water round the year?,What fraction of $Location is covered by water perennially?,,,,
LandCoverFraction_SeasonalWater,What fraction of $Location is covered by water seasonaly?,What fraction of $Location is covered by water round the year?,,,,,
Mean_Concentration_AirPollutant_Ozone,What is the mean concentration of ozone in $Location?,average ppm of ozone in $Location?,average ppb of ozone in $Location?,,,,
AirQualityIndex_AirPollutant_Ozone,What is the ozone aqi of $Location?,How bad is ozone pollution in $Location?,What is air quality index of ozone for $Location?,,,,
Max_Concentration_AirPollutant_SO2,What is the max concentration of so2 in $Location?,maximum ppm of sulphur dioxide in $Location,highest ppb of so2 in $Location?,,,,
AirQualityIndex_AirPollutant_SO2,What is the so2 aqi of $Location?,How bad is sulphur dioxide pollution in $Location?,What is air quality index of so2 for $Location?,,,,
Mean_Concentration_AirPollutant_CO,What is the mean concentration of carbon monoxide in $Location?,average ppm of co in $Location,average ppb of carbon monoxide in $Location?,,,,
AirQualityIndex_AirPollutant_CO,What is the carbon monoxide aqi of $Location?,How bad is co pollution in $Location?,What is air quality index of carbon monoxide for $Location?,,,,
Max_Concentration_AirPollutant_NO2,What is the max concentration of no2 in $Location?,average ppm of nitrogen dioxide in $Location,highest ppb of no2 in $Location?,,,,
AirQualityIndex_AirPollutant_NO2,What is the no2 aqi of $Location?,How bad is nitrogen dioxide pollution in $Location?,What is air quality index of no2 for $Location?,,,,
Mean_Concentration_AirPollutant_PM2.5,What is the mean concentration of pm 2.5 in $Location?,average ppm of 2.5 micron particulate matter in $Location,average ppm of fine particulate matter in $Location?,,,,
AirQualityIndex_AirPollutant_PM2.5,What is the particulate matter aqi of $Location?,How bad is pm2.5 pollution in $Location?,What is air quality index of fine particulate matter for $Location?,,,,
Max_Concentration_AirPollutant_PM10,What is the max concentration of pm10 particles in $Location?,maximum ppm of pm10 in $Location,highest ppm of inhalable particulate matter in $Location?,,,,
AirQualityIndex_AirPollutant_PM10,What is the pm10 aqi of $Location?,How bad is particulate matter pollution in $Location?,What is air quality index of inhalable particulate matter for $Location?,,,,
Mean_Concentration_AirPollutant_DieselPM,What is the mean concentration of ozone in $Location?,average ppm of diesel pm in $Location,average ppb of diesel particulate matter in $Location?,,,,
AirPollutant_Cancer_Risk,What is the risk of contracting cancer in $Location?,What is the cancer risk EJ index for $Location?,How probable is it to get cancer in $Location?,What is the probability of getting cancer in $Location?,,,
AirPollutant_Respiratory_Hazard,How likely is it to inhale respiratory hazards in $Location?,What amount of exposure of respiratory hazard in $Location?,How much of carcenogic air pollutants are present in $Location?,,,,
Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal,What is the sulphur content of coal used in $Location for electricity generation?,What is the percentage of sulphur in coal used in $Location for energy production?,,,,,
Annual_Emissions_Methane_NonBiogenic,Annual methane released from non biogenic sources in $Location,How many metric ton of methane is emitted from $Location?,non biologically cycled CO2 equivalent metric tons of methane released from $Location,,,,
Annual_Emissions_NitrousOxide_NonBiogenic,Annual no2 released from non biogenic sources in $Location,How many metric ton of nitrogen dioxide is emitted from $Location?,non biological CO2 equivalent metric tons of no2 released from $Location,,,,
Annual_Emissions_Hydrofluorocarbon_NonBiogenic,Annual hfc released from non biogenic sources in $Location,How many metric ton of hydroflorocarbon is emitted from $Location?,non biologically cycled CO2 equivalent metric tons of hfc released from $Location,,,,
Annual_Emissions_Perfluorocarbon_NonBiogenic,Annual pfc released from non biogenic sources in $Location,How many metric ton of perfluorocarbon is emitted from $Location per year?,non biologically cycled CO2 equivalent metric tons of perfluorocarbon released from $Location per annum,,,,
Annual_Emissions_SulfurHexafluoride_NonBiogenic,Annual sulphur hexafluoride released from non biogenic sources in $Location,How many metric ton of sulphur hexafluoride is emitted from $Location per year?,non biological CO2 equivalent metric tons of sulphur hexafluoride released from $Location per annum,,,,
Annual_Emissions_NitrogenTrifluoride_NonBiogenic,Annual methane released from non biogenic sources in $Location,How many metric ton of methane is emitted from $Location per year?,non biological CO2 equivalent metric tons of methane released from $Location per annum,,,,
Annual_Emissions_Hydrofluoroether_NonBiogenic,Annual hfe released from non biogenic sources in $Location,How many metric ton of Hydrofluoroether is emitted from $Location per year?,non biologically cycled CO2 equivalent metric tons of Hydrofluoroether released from $Location per annum,,,,
Annual_Emissions_CarbonDioxide_NonBiogenic,Annual co2 released from non biogenic sources in $Location,How many metric ton of carbon dioxide is emitted from $Location per year?,non biological metric tons of co2 released from $Location per annum,,,,
Annual_Emissions_CarbonDioxide_Biogenic,Annual co2 released from biogenic sources in $Location,How many metric ton of absorbable co2 is emitted from $Location per year?,Biologically absorbable metric tons of carbon dioxide released from $Location per annum,,,,
Annual_Emissions_VeryShortLivedCompounds_NonBiogenic,Annual slcp released from non biogenic sources in $Location,How many metric ton of vslc is emitted from $Location per year?,non biological CO2 equivalent metric tons of very short lived compounds released from $Location per annum,,,,
Annual_Emissions_GreenhouseGas_NonBiogenic,Annual green house gases released from non biogenic sources in $Location,How many metric ton of greenhouse gases is emitted from $Location per year?,non biological CO2 equivalent metric tons of greenhouse gases released from $Location per annum,,,,
